dataset,subject,seed,budget,variant,experiment,accuracy,balanced_accuracy,kappa,macro_f1
bci2a,6,2,all,tcn_stat,REV-E2,0.5416666666666666,0.5416666666666667,0.38888888888888884,0.5375638459592462
bci2a,6,2,n25,ann_sew_equal,REV-E3,0.4027777777777778,0.4027777777777778,0.20370370370370372,0.3931293029997512
bci2a,6,2,n50,ann_sew_equal,REV-E3,0.4375,0.4375,0.25,0.43062576548764997
bci2a,6,2,all,ann_sew_equal,REV-E3,0.4722222222222222,0.4722222222222222,0.2962962962962963,0.4710306402432819
bci2a,6,2,n25,sew_clif_equal,REV-E3,0.53125,0.53125,0.375,0.5146790574925132
bci2a,6,2,n50,sew_clif_equal,REV-E3,0.5277777777777778,0.5277777777777778,0.3703703703703704,0.5145159374957508
bci2a,6,2,all,sew_clif_equal,REV-E3,0.5277777777777778,0.5277777777777778,0.3703703703703704,0.5222705397664897
bci2a,6,2,n25,ann_sew_ce,RECOVERED_PARENT,0.3923611111111111,0.3923611111111111,0.1898148148148148,0.37740048795144926
bci2a,6,2,n25,sew_clif_ce,RECOVERED_PARENT,0.53125,0.53125,0.375,0.5174105103156647
bci2a,6,2,all,ann_sew_ce,RECOVERED_PARENT,0.4791666666666667,0.47916666666666663,0.3055555555555556,0.4784779416112528
bci2a,6,2,all,sew_clif_ce,RECOVERED_PARENT,0.5173611111111112,0.5173611111111112,0.35648148148148157,0.5092838367780895
bci2a,6,2,n50,ann_sew_ce,RECOVERED_PARENT,0.4548611111111111,0.4548611111111111,0.27314814814814814,0.45417008008500026
bci2a,6,2,n50,sew_clif_ce,RECOVERED_PARENT,0.5347222222222222,0.5347222222222222,0.3796296296296296,0.5251163936017228
bci2a,7,0,n25,soft_clif_exact,REV-E1,0.7326388888888888,0.7326388888888888,0.6435185185185185,0.7278377962664095
bci2a,7,0,all,soft_clif_exact,REV-E1,0.7326388888888888,0.7326388888888888,0.6435185185185185,0.7320435713397349
bci2a,7,0,n25,gru_stat,REV-E2,0.7916666666666666,0.7916666666666667,0.7222222222222222,0.7755237299422497
bci2a,7,0,all,gru_stat,REV-E2,0.7916666666666666,0.7916666666666666,0.7222222222222222,0.7845832920227638
bci2a,7,0,n25,tcn_stat,REV-E2,0.7708333333333334,0.7708333333333333,0.6944444444444445,0.7650533436900423
bci2a,7,0,all,tcn_stat,REV-E2,0.7673611111111112,0.767361111111111,0.6898148148148149,0.7625771403486448
bci2a,7,0,n25,ann_sew_equal,REV-E3,0.6006944444444444,0.6006944444444444,0.46759259259259256,0.5936819972892011
bci2a,7,0,n50,ann_sew_equal,REV-E3,0.7152777777777778,0.7152777777777778,0.6203703703703703,0.7101940041506433
bci2a,7,0,all,ann_sew_equal,REV-E3,0.6805555555555556,0.6805555555555556,0.5740740740740741,0.6747080526060717
bci2a,7,0,n25,sew_clif_equal,REV-E3,0.7951388888888888,0.7951388888888888,0.7268518518518517,0.792190999722296
bci2a,7,0,n50,sew_clif_equal,REV-E3,0.8090277777777778,0.8090277777777777,0.7453703703703703,0.808054646536096
bci2a,7,0,all,sew_clif_equal,REV-E3,0.8090277777777778,0.8090277777777777,0.7453703703703703,0.8077127914482718
bci2a,7,0,n25,ann_sew_ce,RECOVERED_PARENT,0.5833333333333334,0.5833333333333333,0.4444444444444445,0.5731391489354611
bci2a,7,0,n25,sew_clif_ce,RECOVERED_PARENT,0.7673611111111112,0.7673611111111112,0.6898148148148149,0.7651252245645697
bci2a,7,0,all,ann_sew_ce,RECOVERED_PARENT,0.7083333333333334,0.7083333333333334,0.6111111111111112,0.7043704718420883
bci2a,7,0,all,sew_clif_ce,RECOVERED_PARENT,0.8055555555555556,0.8055555555555555,0.7407407407407408,0.802687978656587
bci2a,7,0,n50,ann_sew_ce,RECOVERED_PARENT,0.7083333333333334,0.7083333333333334,0.6111111111111112,0.706207925351613
bci2a,7,0,n50,sew_clif_ce,RECOVERED_PARENT,0.7916666666666666,0.7916666666666667,0.7222222222222222,0.7924577477879753
bci2a,7,1,n25,soft_clif_exact,REV-E1,0.7291666666666666,0.7291666666666667,0.6388888888888888,0.7308692086512474
bci2a,7,1,all,soft_clif_exact,REV-E1,0.8229166666666666,0.8229166666666667,0.7638888888888888,0.8263233937405019
bci2a,7,1,n25,gru_stat,REV-E2,0.7604166666666666,0.7604166666666666,0.6805555555555555,0.7596666261513114
bci2a,7,1,all,gru_stat,REV-E2,0.8090277777777778,0.8090277777777778,0.7453703703703703,0.8087830687830688
bci2a,7,1,n25,tcn_stat,REV-E2,0.7673611111111112,0.7673611111111112,0.6898148148148149,0.7678912422866099
bci2a,7,1,all,tcn_stat,REV-E2,0.8194444444444444,0.8194444444444444,0.7592592592592592,0.8184315416554502
bci2a,7,1,n25,ann_sew_equal,REV-E3,0.6770833333333334,0.6770833333333333,0.5694444444444445,0.6754462859257921
bci2a,7,1,n50,ann_sew_equal,REV-E3,0.6979166666666666,0.6979166666666666,0.5972222222222222,0.6968088462989708
bci2a,7,1,all,ann_sew_equal,REV-E3,0.7430555555555556,0.7430555555555555,0.6574074074074074,0.7430418167922264
bci2a,7,1,n25,sew_clif_equal,REV-E3,0.7569444444444444,0.7569444444444445,0.6759259259259259,0.759107153997665
bci2a,7,1,n50,sew_clif_equal,REV-E3,0.78125,0.78125,0.7083333333333334,0.7819288956364355
bci2a,7,1,all,sew_clif_equal,REV-E3,0.8402777777777778,0.8402777777777778,0.7870370370370371,0.8401702273459163
bci2a,7,1,n25,ann_sew_ce,RECOVERED_PARENT,0.6666666666666666,0.6666666666666667,0.5555555555555555,0.6626091658480158
bci2a,7,1,n25,sew_clif_ce,RECOVERED_PARENT,0.7986111111111112,0.7986111111111112,0.7314814814814815,0.7959866694163693
bci2a,7,1,all,ann_sew_ce,RECOVERED_PARENT,0.7152777777777778,0.7152777777777778,0.6203703703703703,0.7131616030231099
bci2a,7,1,all,sew_clif_ce,RECOVERED_PARENT,0.84375,0.84375,0.7916666666666666,0.8437805599676104
